row,column,has_key,gate_phase,visit_count
6,12,0,0,93
6,12,0,1,93
6,12,1,0,481
6,12,1,1,485
6,13,0,0,66
6,13,0,1,65
6,13,1,0,260
6,13,1,1,287
7,7,1,0,553
7,7,1,1,494
8,1,1,0,66
8,1,1,1,65
8,2,1,0,69
8,2,1,1,87
8,4,1,0,104
8,4,1,1,111
8,5,1,0,147
8,5,1,1,148
8,6,1,0,211
8,6,1,1,210
8,7,1,0,408
8,7,1,1,463
8,8,1,0,203
8,8,1,1,217
8,9,1,0,145
8,9,1,1,138
8,11,1,0,68
8,11,1,1,61
8,12,1,0,78
8,12,1,1,83
8,13,1,0,57
8,13,1,1,54
9,1,1,0,61
9,1,1,1,61
9,2,1,0,125
9,2,1,1,93
9,3,1,0,130
9,3,1,1,143
9,4,1,0,162
9,4,1,1,163
9,5,1,0,190
9,5,1,1,171
9,6,1,0,219
9,6,1,1,229
9,7,1,0,376
9,7,1,1,340
9,8,1,0,224
9,8,1,1,241
9,9,1,0,207
9,9,1,1,196
9,10,1,0,177
9,10,1,1,158
9,11,1,0,95
9,11,1,1,129
9,12,1,0,85
9,12,1,1,77
10,1,1,0,100
10,1,1,1,89
10,2,1,0,112
10,2,1,1,132
10,3,1,0,159
10,3,1,1,160
10,4,1,0,174
10,4,1,1,181
10,5,1,0,190
10,5,1,1,175
10,6,1,0,223
10,6,1,1,220
10,7,1,0,296
10,7,1,1,358
10,8,1,0,258
10,8,1,1,219
10,9,1,0,173
10,9,1,1,217
10,10,1,0,200
10,10,1,1,187
10,11,1,0,171
10,11,1,1,170
11,1,1,0,100
11,1,1,1,136
11,2,1,0,174
11,2,1,1,133
11,3,1,0,144
11,3,1,1,169
11,4,1,0,160
11,4,1,1,145
11,5,1,0,142
11,5,1,1,182
11,6,1,0,237
11,6,1,1,178
11,7,1,0,311
11,7,1,1,301
11,8,1,0,226
11,8,1,1,276
11,11,1,0,133
11,11,1,1,137
11,12,1,0,67
11,12,1,1,49
11,13,1,0,26
11,13,1,1,33
12,1,1,0,117
12,1,1,1,90
12,2,1,0,138
12,2,1,1,164
12,3,1,0,150
12,3,1,1,141
12,5,1,0,149
12,5,1,1,116
12,6,1,0,161
12,6,1,1,221
12,7,1,0,335
12,7,1,1,207
12,8,1,0,320
12,8,1,1,347
12,10,1,0,113
12,10,1,1,119
12,11,1,0,159
12,11,1,1,235
12,12,1,0,113
12,12,1,1,145
12,13,1,0,97
12,13,1,1,39
13,1,1,0,62
13,1,1,1,66
13,2,1,0,120
13,2,1,1,108
13,3,1,0,108
13,3,1,1,121
13,5,1,0,97
13,5,1,1,116
13,6,1,0,149
13,6,1,1,116
13,7,1,0,124
13,7,1,1,175
13,8,1,0,318
13,8,1,1,291
13,9,1,0,271
13,9,1,1,312
13,10,1,0,295
13,10,1,1,245
13,11,1,0,508
13,11,1,1,275
13,12,1,0,120
13,12,1,1,417
13,13,1,0,286
13,13,1,1,120
