episode,epsilon,reward,steps,success,normal_moves,wall_collisions,penalty_visits,closed_door_attempts,door_passes,periodic_gate_closed,periodic_gate_passes,key_collected,goal_reached_count,step_limit_reached_count,terminated,truncated
124,0.47857126773510905,-685.5399999999988,423,0,366,41,6,0,2,0,7,1,0,1,0,1
125,0.4757124976130486,-786.8600000000029,423,0,357,55,8,0,2,0,0,1,0,1,0,1
126,0.47287080450158575,-708.870000000001,423,0,373,29,10,0,4,4,2,1,0,1,0,1
127,0.47004608639031786,-105.54999999999991,166,1,153,8,0,0,3,0,0,1,1,0,1,0
128,0.4672382418782068,-621.7500000000005,423,0,383,28,4,0,1,1,5,1,0,1,0,1
129,0.4644471701699387,-701.4500000000019,423,0,378,35,8,0,1,0,0,1,0,1,0,1
130,0.4616727710723058,-454.3299999999994,316,1,270,35,7,0,1,1,0,1,1,0,1,0
131,0.45891494499060953,-152.88999999999993,158,1,133,18,2,0,1,0,2,1,1,0,1,0
132,0.45617359292508536,-663.0099999999994,423,0,371,43,1,1,0,3,3,1,0,1,0,1
133,0.4534486164673491,-219.18000000000023,205,1,179,21,2,0,1,0,0,1,1,0,1,0
134,0.4507399177968639,-670.0400000000022,423,0,374,39,3,0,3,1,2,1,0,1,0,1
135,0.4480473996774292,-125.73999999999985,156,1,136,16,0,0,1,0,1,1,1,0,1,0
136,0.44537096545368954,-171.87999999999994,166,1,142,16,4,0,1,0,1,1,1,0,1,0
137,0.4427105190476656,-776.8600000000027,423,0,362,45,12,0,3,0,0,1,0,1,0,1
138,0.4400659649553045,-32.01999999999994,87,1,71,11,1,0,2,0,0,1,1,0,1,0
139,0.4374372082430519,-653.5100000000016,423,0,385,27,7,0,0,1,2,1,0,1,0,1
140,0.4348241545444439,-170.51999999999987,202,1,186,12,1,0,1,0,0,1,1,0,1,0
141,0.4322267100567195,-674.9700000000006,423,0,375,38,5,0,0,1,3,1,0,1,0,1
142,0.42964478153745334,-67.11999999999996,120,1,106,10,1,0,1,0,0,1,1,0,1,0
143,0.4270782763012086,-732.3700000000023,423,0,372,35,12,0,1,0,2,1,0,1,0,1
144,0.42452710221620954,-655.9999999999981,423,0,386,30,6,0,0,0,0,1,0,1,0,1
145,0.4219911677010344,-700.7799999999992,423,0,376,34,9,0,0,1,2,1,0,1,0,1
146,0.4194703817213278,-25.230000000000004,106,1,97,6,0,0,1,0,0,1,1,0,1,0
147,0.4169646537865326,-224.72999999999996,192,1,161,23,3,0,1,1,1,1,1,0,1,0
148,0.41447389394664186,-718.0999999999957,423,0,365,49,5,0,0,0,3,1,0,1,0,1
149,0.4119980127889696,-732.359999999999,423,0,366,52,3,0,1,0,0,1,0,1,0,1
150,0.409536921434941,-594.8799999999994,423,0,390,31,0,0,0,1,0,1,0,1,0,1
151,0.40709053153690217,-624.5000000000007,423,0,391,27,2,0,2,0,0,1,0,1,0,1
152,0.4046587552749483,-664.1599999999988,423,0,374,42,3,0,0,0,3,1,0,1,0,1
153,0.40224150535377157,-627.1599999999984,423,0,388,25,5,0,0,0,4,1,0,1,0,1
154,0.3998386949995268,-670.700000000001,423,0,385,30,6,0,1,0,0,1,0,1,0,1
155,0.39745023795671713,-666.6000000000006,423,0,382,36,3,0,1,0,0,1,0,1,0,1
156,0.39507604848509725,-640.150000000001,423,0,388,27,5,0,0,2,0,1,0,1,0,1
157,0.3927160413565957,-67.28000000000007,120,1,102,6,3,0,1,0,6,1,1,0,1,0
158,0.3903701318522552,-523.5000000000001,396,1,352,38,3,0,1,0,0,1,1,0,1,0
159,0.38803823575919155,-152.07999999999998,170,1,148,14,2,0,1,0,3,1,1,0,1,0
